Vannkraftverk;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Løpenummer;Navn;Type;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1981-2010) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.
222;Kvilldal;Kraftverk;STATKRAFT ENERGI AS;987059729;Rogaland;11;Suldal;34;11.12.1981;11.12.1981;1240.00;3611.47;536,5;263,33;1,307;2;036.B121
33;Blåfalli IV;Kraftverk;SUNNHORDLAND KRAFTLAG AS;916435711;Hordaland;12;Kvinnherad;24;15.12.1981;15.12.1981;13.00;66.94;150;10;0,361;2;4.20E+22
46;Brufoss;Kraftverk;VOKKS KRAFT AS;976550013;Oppland;5;Gjøvik;2;01.01.1982;01.01.1982;2.20;10.94;32,5;8,48;0,071;1;002.DCA0
328;Pikerfoss;Kraftverk;GLITRE ENERGI PRODUKSJON AS;979487223;Buskerud;6;Kongsberg;4;01.01.1982;01.01.1982;15.80;59.62;13,5;150;0,029;1;1.50E+01
1028;Smørklepp I;Kraftverk;SMØRKLEPP KRAFTVERK AS;991429042;Telemark;8;Vinje;34;01.01.1982;01.01.1982;0.36;2.20;;;;2;016.BEC2
365;Sildvik;Kraftverk;NORDKRAFT MAGASIN AS;928657213;Nordland;18;Narvik;5;15.01.1982;15.01.1982;65.00;246.46;660;11,5;1,57;4;174.33A
240;Lavkajohka;Kraftverk;TROMS KRAFT PRODUKSJON AS;979152116;Troms;19;Storfjord %u2013 Omasvuotna %u2013 Omasvuono;39;28.01.1982;28.01.1982;8.70;28.12;133;7,38;0,326;4;205.B3B0
434;Tafjord 5;Kraftverk;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Norddal;24;28.01.1982;28.01.1982;82.70;418.30;822,29;12,8;1,795;3;099.B2B12
113;Grana;Kraftverk;KRAFTVERKENE I ORKLA DA;947576283;Trøndelag;50;Rennebu;22;01.04.1982;01.04.1982;75.00;331.62;455;19,01;1,095;3;121.BA0
462;Tveit;Kraftverk;SUNNFJORD ENERGI AS;916501420;Sogn og Fjordane;14;Hyllestad;13;01.07.1982;01.07.1982;0.95;7.39;386;0,325;0,812;3;080.41Z
247;Litjfossen;Kraftverk;KRAFTVERKENE I ORKLA DA;947576283;Hedmark;4;Tynset;37;01.10.1982;01.10.1982;75.00;167.09;285;30,02;0,694;3;121.E5A
12;Aurland II L;Kraftverk;E-CO ENERGI AS;976894677;Sogn og Fjordane;14;Aurland;21;05.10.1982;05.10.1982;60.00;227.46;109;61,95;0,268;5;072.CB2
40;Brattset;Kraftverk;KRAFTVERKENE I ORKLA DA;947576283;Trøndelag;50;Rennebu;22;10.10.1982;10.10.1982;80.00;402.33;268,9;36,02;0,616;3;121.C6A0
309;Norddalen;Kraftverk;STATKRAFT ENERGI AS;987059729;Nordland;18;Narvik;5;01.01.1983;01.01.1983;7.50;39.93;91;12,6;0,203;4;173.AB6A
385;Skollenborg;Kraftverk;GLITRE ENERGI PRODUKSJON AS;979487223;Buskerud;6;Kongsberg;4;01.01.1983;01.01.1983;97.00;392.79;60,09;180;0,149;1;015.D1
428;Sørfjord II;Kraftverk;NORDKRAFT MAGASIN AS;928657213;Nordland;18;Divtasvuodna %u2013 Tysfjord;50;01.01.1983;01.01.1983;4.00;12.93;60,5;8,1;0,136;4;171.7AB
497;Vestbakken;Kraftverk;VOKKS KRAFT AS;976550013;Oppland;5;Vestre Toten;29;01.01.1983;01.01.1983;1.20;7.05;43;3,57;0,093;1;002.DCC
165;Hunnevatn;Pumpe;SIRA KVINA KRAFTSELSKAP;954090493;Vest-Agder;10;Sirdal;46;01.01.1983;01.01.1983;-2.00;-5.20;0;12,07;-0,046;2;030.2C
481;Ustekveikja;Kraftverk;USTEKVEIKJA KRAFTVERK DA;971040246;Buskerud;6;Hol;20;02.01.1983;02.01.1983;36.50;72.98;113;38,54;0,263;5;012.CJ4
427;Sørfjord I;Kraftverk;NORDKRAFT MAGASIN AS;928657213;Nordland;18;Divtasvuodna %u2013 Tysfjord;50;15.01.1983;15.01.1983;75.00;304.25;486;16;1,146;4;171.72Z
11;Aurland II H;Kraftverk;E-CO ENERGI AS;976894677;Sogn og Fjordane;14;Aurland;21;19.01.1983;19.01.1983;70.00;259.20;500;16,1;1,207;5;072.CB2
390;Slunkajavrre;Kraftverk;NORD-SALTEN KRAFT AS;995114666;Nordland;18;Hamarøy %u2013 Hábmer;49;09.03.1983;09.03.1983;21.00;80.58;246,5;10,01;0,583;4;170.BB
530;Årøy;Kraftverk;SOGNEKRAFT AS;916069634;Sogn og Fjordane;14;Sogndal;20;01.05.1983;01.05.1983;90.00;349.62;147;70,02;0,356;5;077.A2
68;Eidefossen;Kraftverk;AS EIDEFOSS;911305631;Oppland;5;Vågå;15;23.06.1983;23.06.1983;13.20;85.60;18,89;93,83;0,039;3;002.DHA42
504;Vinkelfallet;Kraftverk;GUDBRANDSDAL ENERGI PRODUKSJON AS;941739601;Oppland;5;Ringebu;20;29.06.1983;29.06.1983;7.10;26.81;109;7,98;0,246;1;002.DF1A0
422;Svorkmo;Kraftverk;KRAFTVERKENE I ORKLA DA;947576283;Trøndelag;50;Orkdal;24;01.07.1983;01.07.1983;55.00;344.91;96;69,12;0,221;3;121.A42
525;Åmli-Nidelv;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Aust-Agder;9;Åmli;29;05.08.1983;05.08.1983;5.80;27.67;5,5;134,25;0,012;2;019.C62
111;Åmli-Gjøv;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Aust-Agder;9;Åmli;29;05.09.1983;05.09.1983;18.40;68.00;54,5;39,93;0,128;2;019.C62
369;Sjønstå;Kraftverk;SKS PRODUKSJON AS;915637353;Nordland;18;Fauske %u2013 Fuossko;41;01.11.1983;01.11.1983;66.00;293.43;125;63;0,291;4;164.B42
251;Lomen;Kraftverk;E-CO ENERGI AS;976894677;Oppland;5;Vestre Slidre;43;17.11.1983;17.11.1983;54.50;166.36;308;20,51;0,737;1;012.M
773;Ramstaddal;Kraftverk;SYKKYLVEN ENERGI AS;979918224;Møre og Romsdal;15;Sykkylven;28;08.12.1983;08.12.1983;1.20;3.24;380;0,36;0,925;3;098.1Z
1063;Fiskå Mølle;Kraftverk;;;Rogaland;11;Strand;30;01.01.1984;01.01.1984;0.10;0.45;;;;2;033.1A
962;Mago A;Kraftverk;E-CO ENERGI AS;976894677;Akershus;2;Eidsvoll;37;01.01.1984;01.01.1984;0.77;4.80;;;;1;002.DAA1Z
325;Oslandsbotn;Kraftverk;SFE PRODUKSJON AS;984882106;Sogn og Fjordane;14;Askvoll;28;01.01.1984;01.01.1984;2.90;11.76;188;1,79;0,448;3;084.1D
405;Strielv;Kraftverk;VESTERÅLSKRAFT PRODUKSJON AS;977044863;Nordland;18;Sortland %u2013 Suortá;70;01.01.1984;01.01.1984;1.70;7.49;320,5;0,6;0,787;4;178.442Z
498;Vestfossen;Kraftverk;ØVRE EIKER ENERGI AS;979497563;Buskerud;6;Øvre Eiker;24;01.01.1984;01.01.1984;2.80;11.04;16,2;19,73;0,037;1;012.AA
1259;Øvre Åvella;Kraftverk;VOKKS KRAFT AS;976550013;Oppland;5;Nordre Land;38;01.01.1984;01.01.1984;0.43;2.00;44;1,2;0,1;1;012.EC8A6
338;Aurland V (Reppa);Kraftverk;E-CO ENERGI AS;976894677;Sogn og Fjordane;14;Aurland;21;14.02.1984;14.02.1984;9.00;29.45;395;2,59;0,965;5;072.CAA
279;Mosvik;Kraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Inderøy;53;23.02.1984;23.02.1984;37.00;96.04;205;21,5;0,477;3;131.3Z
225;Kvittingen;Kraftverk;BKK PRODUKSJON AS;876944642;Hordaland;12;Samnanger;42;01.11.1984;01.11.1984;48.00;164.80;251;20,67;0,626;5;055.D2A
442;Tjodan;Kraftverk;LYSE PRODUKSJON AS;980335216;Rogaland;11;Forsand;29;13.12.1984;13.12.1984;110.00;347.07;885,5;15;2,036;2;031.A0
20;Bergsbotn;Kraftverk;TROMS KRAFT PRODUKSJON AS;979152116;Troms;19;Berg;29;01.01.1985;01.01.1985;7.90;34.79;354,1;2,59;0,843;4;195.6A0
49;Buer;Kraftverk;SMÅKRAFT AS;984616155;Østfold;1;Rakkestad;28;01.01.1985;01.01.1985;1.50;5.34;16;10,1;0,043;1;002.AA0
1094;Hauggard;Kraftverk;SMÅKRAFT AS;984616155;Østfold;1;Rakkestad;28;01.01.1985;01.01.1985;0.50;1.00;;;;1;002.AB0
306;Nisserdam;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Telemark;8;Nissedal;30;01.01.1985;01.01.1985;1.80;11.36;6,9;38,45;0,013;2;1.90E+63
391;Smeland;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Vest-Agder;10;Åseral;26;01.01.1985;01.01.1985;24.00;144.53;97;28,98;0,23;2;022.EA
850;Tverrelva;Kraftverk;TROMS KRAFT PRODUKSJON AS;979152116;Troms;19;Lenvik;31;01.01.1985;01.01.1985;0.30;1.00;;;;4;196.2B
407;Stølsdal;Pumpe;STATKRAFT ENERGI AS;987059729;Rogaland;11;Hjelmeland;33;01.01.1985;01.01.1985;-6.00;-8.97;0;3,5;-0,476;2;035.4AB
443;Tjodanpollen;Pumpe;LYSE PRODUKSJON AS;980335216;Rogaland;11;Forsand;29;01.01.1985;01.01.1985;-3.50;-9.48;0;2,4;-0,405;2;031.B0
594;Sør-Forså;Kraftverk;HÅLOGALAND KRAFT PRODUKSJON AS;912432181;Troms;19;Ibestad;17;27.01.1985;27.01.1985;1.10;6.46;155;0,8;0,381;4;188.23Z
984;Stend;Kraftverk;BKK PRODUKSJON AS;876944642;Hordaland;12;Bergen;1;01.03.1985;01.03.1985;0.95;2.00;;;;5;56.22
474;Ulset;Kraftverk;KRAFTVERKENE I ORKLA DA;947576283;Hedmark;4;Tynset;37;01.03.1985;01.03.1985;35.00;151.53;320;12;0,81;3;1.21E+83
389;Slind;Kraftverk;SELBU ENERGIVERK AS;980498646;Trøndelag;50;Selbu;32;15.03.1985;15.03.1985;20.00;70.60;178;13,01;0,426;3;123.B7AA
268;Mesna;Kraftverk;E-CO ENERGI AS;976894677;Oppland;5;Lillehammer;1;10.04.1985;10.04.1985;37.50;135.65;356;12;0,868;1;002.DD5A1
362;Saurdal;Pumpekraftverk;STATKRAFT ENERGI AS;987059729;Rogaland;11;Suldal;34;19.10.1985;19.10.1985;640.00;1335.08;437;173,27;1,026;2;036.B1B
17;Bedafors;Kraftverk;E-CO ENERGI AS;976894677;Hedmark;4;Kongsvinger;2;01.12.1985;01.12.1985;1.00;4.52;19,29;5,44;0,05;1;313.A1F2
1169;Varalden;Kraftverk;E-CO ENERGI AS;976894677;Hedmark;4;Kongsvinger;2;15.12.1985;15.12.1985;0.60;2.00;;;;1;313.A1F4
864;Eikedalsvatten;Kraftverk;;;Møre og Romsdal;15;Nesset;43;01.01.1986;01.01.1986;0.03;0.09;;;;3;104.B2
278;Mossefossen;Kraftverk;MOSSEFOSSEN ANS;950246901;Østfold;1;Moss;4;01.01.1986;01.01.1986;3.10;21.59;22,4;15;0,056;1;003.A
435;Taraldsvik;Kraftverk;NORDKRAFT MAGASIN AS;928657213;Nordland;18;Narvik;5;01.01.1986;01.01.1986;1.50;10.78;425;0,4;1,042;4;174.311Z
526;Åmot;Kraftverk;VOKKS KRAFT AS;976550013;Oppland;5;Gjøvik;2;01.01.1986;01.01.1986;1.80;12.83;56;4,09;0,122;1;002.DCB0
149;Hjorteland;Pumpe;STATKRAFT ENERGI AS;987059729;Rogaland;11;Suldal;34;01.01.1986;01.01.1986;-6.60;-19.99;0;5,98;-0,305;2;035.A2
762;Skjeggedal;Pumpe;STATKRAFT ENERGI AS;987059729;Hordaland;12;Odda;28;01.01.1986;01.01.1986;-2.60;-13.95;0;4,6;-0,157;2;049.A
353;Sagefossen;Kraftverk;SFE PRODUKSJON AS;984882106;Sogn og Fjordane;14;Gloppen;45;02.02.1986;02.02.1986;10.10;42.77;61;18,3;0,147;3;085.F2
406;Stølsdal;Kraftverk;STATKRAFT ENERGI AS;987059729;Rogaland;11;Hjelmeland;33;03.05.1986;03.05.1986;17.00;62.65;95;21,45;0,219;2;035.4AB
51;Bøhnsdalen;Kraftverk;GLOMMA KRAFTPRODUKSJON AS;987287608;Akershus;2;Eidsvoll;37;22.05.1986;22.05.1986;3.00;11.57;18,2;22,52;0,037;1;002.DAA4
74;Eikelandsosen;Kraftverk;SUNNHORDLAND KRAFTLAG AS;916435711;Hordaland;12;Fusa;41;01.09.1986;01.09.1986;30.00;96.39;500;7,2;1,15;2;055.2Z
277;Morkenfoss;Kraftverk;SMÅKRAFT AS;984616155;Trøndelag;50;Flatanger;49;01.10.1986;01.10.1986;2.10;11.50;50,5;4,98;0,117;3;137.7D
459;Tunnsjøfoss;Kraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Raarvikhe %u2013 Røyrvik;43;10.10.1986;10.10.1986;8.50;30.11;8,1;124,26;0,018;4;139.DC10
168;Hylla;Kraftverk;E-CO ENERGI AS;976894677;Hedmark;4;Engerdal;34;01.11.1986;01.11.1986;2.90;8.52;324;1,1;0,731;1;311.DB33
42;Brekke;Kraftverk;SMÅKRAFT AS;984616155;Østfold;1;Rakkestad;28;01.01.1987;01.01.1987;1.50;5.55;15;9,92;0,041;1;002.A7
105;Gapestad;Kraftverk;SMÅKRAFT AS;984616155;Østfold;1;Rakkestad;28;01.01.1987;01.01.1987;1.50;5.55;15,5;10,97;0,043;1;002.AA0
614;Haukvik;Kraftverk;HAUKVIK KRAFT AS;880397532;Trøndelag;50;Hemne;11;01.01.1987;01.01.1987;2.60;10.35;300;1;0,722;3;113.AZ
220;Kvarv;Kraftverk;ISE PRODUKSJON AS;914385342;Nordland;18;Sørfold;45;01.01.1987;01.01.1987;2.20;9.61;238,8;1,2;0,509;4;166.6A
1057;Monabekken;Kraftverk;SVEIN GILJE;974339749;Rogaland;11;Gjesdal;22;01.01.1987;01.01.1987;0.05;0.21;172;;;2;030.2A20
1089;Saupstadfossen;Kraftverk;LOFOTKRAFT PRODUKSJON AS;987081414;Nordland;18;Vestvågøy;60;01.01.1987;01.01.1987;0.45;1.30;;;;4;180.52Z
95;Fossdal;Pumpe;ØSTFOLD ENERGI AS;879904412;Sogn og Fjordane;14;Årdal;24;01.01.1987;01.01.1987;-3.50;-6.24;0;2;-0,486;5;074.B1B
479;Skarje;Pumpe;OTTERAAENS BRUGSEIERFORENING;959951829;Aust-Agder;9;Bykle;41;01.01.1987;01.01.1987;-9.00;-4.35;0;9,39;-0,266;2;021.GB11C
500;Viervatn;Pumpe;ØSTFOLD ENERGI AS;879904412;Sogn og Fjordane;14;Årdal;24;01.01.1987;01.01.1987;-1.20;-2.08;0;1,5;-0,222;5;074.1Z
373;Holen III;Kraftverk;OTRA KRAFT DA;955007514;Aust-Agder;9;Bykle;41;27.01.1987;27.01.1987;160.00;246.69;610;29,48;1,506;2;021.GB12B
62;Dragefossen;Kraftverk;DRAGEFOSSEN AS;911204177;Nordland;18;Saltdal;40;13.02.1987;13.02.1987;3.30;9.55;100;3,79;0,24;4;163.A1A
290;Naddvik;Kraftverk;ØSTFOLD ENERGI AS;879904412;Sogn og Fjordane;14;Årdal;24;25.02.1987;25.02.1987;112.00;528.80;969;13;2,393;5;074.2A
206;Kobbelv;Kraftverk;STATKRAFT ENERGI AS;987059729;Nordland;18;Sørfold;45;05.03.1987;05.03.1987;300.00;749.74;590;57,99;1,437;4;167.B0
152;Hogga;Kraftverk;STATKRAFT ENERGI AS;987059729;Telemark;8;Nome;19;01.04.1987;01.04.1987;17.00;101.79;12;168,64;0,028;2;016.BA8
283;Myster;Kraftverk;BKK PRODUKSJON AS;876944642;Hordaland;12;Vaksdal;51;06.04.1987;06.04.1987;107.00;367.43;248,8;50;0,594;5;063.A
3;Alta;Kraftverk;STATKRAFT ENERGI AS;987059729;Finnmark - Finnmárku;20;Alta;12;21.05.1987;21.05.1987;150.00;762.35;185;96,01;0,433;4;212.B6
436;Tou;Kraftverk;SMÅKRAFT AS;984616155;Rogaland;11;Strand;30;16.09.1987;16.09.1987;1.10;5.15;13,5;9,55;0,032;2;032.4Z
492;Vatne;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Ørsta;20;01.10.1987;01.10.1987;3.00;17.18;90;3,5;0,222;3;095.D
237;Langåsfoss;Kraftverk;CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB;915640850;Trøndelag;50;Levanger;37;16.11.1987;16.11.1987;1.13;5.50;80;1,79;0,17;3;126.6AA
384;Skogheim;Kraftverk;SFE PRODUKSJON AS;984882106;Sogn og Fjordane;14;Gloppen;45;01.12.1987;01.12.1987;7.70;31.32;341;2,59;0,823;3;085.G2A
534;Breiskallen;Kraftverk;VOKKS KRAFT AS;976550013;Oppland;5;Gjøvik;2;01.01.1988;01.01.1988;1.00;7.05;29;4,21;0,065;1;002.DCB0
1158;Nedre Mollisjok;Kraftverk;;;Finnmark - Finnmárku;20;Kárá%u0161johka %u2013 Karasjok ;21;01.01.1988;01.01.1988;0.02;0.08;;;;4;234.GBAA
316;Nyset;Kraftverk;ØSTFOLD ENERGI AS;879904412;Sogn og Fjordane;14;Årdal;24;01.01.1988;01.01.1988;5.00;19.98;61;8,42;0,165;5;074.2B3
613;Salsbruket;Kraftverk;ALBERT COLLETT;911074184;Trøndelag;50;Nærøy;51;01.01.1988;01.01.1988;1.50;11.00;15,3;13,06;0,034;3;141.A0
858;Skoltefoss;Kraftverk;ØYSTRE SLIDRE KOMMUNE;961382068;Oppland;5;Øystre Slidre;44;01.01.1988;01.01.1988;0.96;2.43;26,4;3,4;;1;012.LC42
851;Sørfjordkraft;Kraftverk;TROMS KRAFT PRODUKSJON AS;979152116;Troms;19;Dyrøy;26;01.01.1988;01.01.1988;0.70;3.00;;;;4;193.12Z
603;Myra;Kraftverk;BKK PRODUKSJON AS;876944642;Hordaland;12;Samnanger;42;02.05.1988;02.05.1988;3.70;17.95;18,2;20;0,051;5;055.B
555;Ormsetfoss;Kraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Verran;39;20.06.1988;20.06.1988;40.00;76.93;383,7;12;0,925;3;130.2Z
535;Buavatn;Pumpe;NTE ENERGI AS;988340715;Trøndelag;50;Verran;39;03.07.1988;03.07.1988;-6.00;-6.10;0;9,01;-0,185;3;130.2A
617;Hansfoss;Kraftverk;CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB;915640850;Trøndelag;50;Levanger;37;22.07.1988;22.07.1988;1.30;7.90;48;3,1;0,115;3;126.6B0
1123;Sagfossen;Kraftverk;SKAGERAK KRAFT AS;979563531;Telemark;8;Siljan;11;26.10.1988;26.10.1988;0.80;2.00;;;;2;1.54E+03
557;Stuvane;Kraftverk;OKKEN KRAFT AS;919372362;Sogn og Fjordane;14;Lærdal;22;01.11.1988;01.11.1988;38.00;197.70;156,19;28;0,377;5;073.B1
554;Oksebotn;Kraftverk;BKK PRODUKSJON AS;876944642;Hordaland;12;Voss;35;01.12.1988;01.12.1988;11.00;45.99;125;10,5;0,291;5;062.BB2
621;Høgfallet;Kraftverk;VOKKS KRAFT AS;976550013;Oppland;5;Gjøvik;2;01.01.1989;01.01.1989;1.10;5.15;38,5;3,4;0,09;1;002.DD2A
551;Nedre Nea;Kraftverk;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Selbu;32;01.01.1989;01.01.1989;66.70;405.37;96;79,86;0,231;3;123.D22
549;Mel;Kraftverk;SFE PRODUKSJON AS;984882106;Sogn og Fjordane;14;Balestrand;18;24.02.1989;24.02.1989;52.00;193.23;810;7,5;1,926;3;078.5Z
605;Rognsfossen;Kraftverk;VOSS ENERGI PRODUKSJON AS;984665776;Hordaland;12;Voss;35;24.04.1989;24.04.1989;6.00;31.58;19,29;34,72;0,048;5;062.G2
627;Ulvilla;Kraftverk;CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB;915640850;Trøndelag;50;Verdal;38;20.11.1989;20.11.1989;1.10;5.80;84,5;1,5;0,203;3;127.B1
547;Jostedal;Kraftverk;STATKRAFT ENERGI AS;987059729;Sogn og Fjordane;14;Luster;26;01.12.1989;01.12.1989;288.00;1005.79;1163;29;2,759;5;076.D10
537;Dokka;Kraftverk;E-CO ENERGI AS;976894677;Oppland;5;Søndre Land;36;14.12.1989;14.12.1989;44.60;140.07;130;41,02;0,301;1;012.EC72
558;Torpa;Kraftverk;E-CO ENERGI AS;976894677;Oppland;5;Nordre Land;38;14.12.1989;14.12.1989;150.00;338.18;470;39;1,067;1;012.EDB2
626;Angvik;Kraftverk;ISTAD KRAFT AS;923253920;Møre og Romsdal;15;Gjemnes;57;01.01.1990;01.01.1990;1.10;4.92;56;2,41;0,127;3;109.1Z
1159;Ravnastua;Kraftverk;;;Finnmark - Finnmárku;20;Kárá%u0161johka %u2013 Karasjok ;21;01.01.1990;01.01.1990;0.01;0.02;;;;4;234.GBAA
1053;Trodla-Tysdal;Kraftverk;;;Rogaland;11;Hjelmeland;33;01.01.1990;01.01.1990;0.02;0.06;5;0,3;;2;033.AC10
1157;Øvre Mollisjok;Kraftverk;;;Finnmark - Finnmárku;20;Kárá%u0161johka %u2013 Karasjok ;21;01.01.1990;01.01.1990;0.02;0.06;;;;4;234.GBF
1337;Kjøljua;Kraftverk;E-CO ENERGI AS;976894677;Oppland;5;Nordre Land;38;15.02.1990;15.02.1990;0.80;4.00;28;;;1;012.EDAA
274;Moksa;Kraftverk;GUDBRANDSDAL ENERGI PRODUKSJON AS;941739601;Oppland;5;Øyer;21;09.03.1990;09.03.1990;15.00;52.16;501;3,5;1,19;1;002.DE3A0
1066;Hauskje;Kraftverk;LYSE PRODUKSJON AS;980335216;Rogaland;11;Hjelmeland;33;02.04.1990;02.04.1990;0.76;3.50;;;;2;035.2Z
56;Dale II;Kraftverk;BKK PRODUKSJON AS;876944642;Hordaland;12;Vaksdal;51;01.07.1990;01.07.1990;150.00;664.41;369,1;42;0,992;5;061.A
538;Fagervollan;Kraftverk;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Rana;33;01.09.1990;01.09.1990;21.00;57.08;227;7,4;0,69;4;157.1B5A
608;Dale;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Volda;19;01.10.1990;01.10.1990;5.20;25.04;619;1;1,444;3;094.2AZ
545;Horga;Kraftverk;SIGDAL ENERGI;971030631;Buskerud;6;Sigdal;21;01.11.1990;01.11.1990;7.20;27.87;204;4,4;0,467;1;012.BB42
615;Corrojavrrit;Kraftverk;KVÆNANGEN KRAFTVERK AS;913680294;Troms;19;Kvænangen;43;04.11.1990;04.11.1990;1.70;11.77;42;4,71;0,1;4;209.4AB
738;Storfallet;Kraftverk;KIÆR MYKLEBY Anders Kiær;961272432;Hedmark;4;Stor-Elvdal;30;07.12.1990;07.12.1990;2.70;8.41;71,4;4,5;0,166;1;002.K6A0
599;Møllefossen;Kraftverk;SMÅKRAFT AS;984616155;Hordaland;12;Osterøy;53;01.06.1991;01.06.1991;0.95;4.61;9,5;12;0,022;5;060.5Z
630;Lekum;Kraftverk;SMÅKRAFT AS;984616155;Østfold;1;Eidsberg;25;01.01.1992;01.01.1992;1.50;5.78;31,39;5,48;0,071;1;002.B12
1852;Rygene miniaggregat;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Aust-Agder;9;Grimstad;4;01.01.1992;01.01.1992;0.11;0.40;15;1;0,031;2;019.A13
772;Skotselv;Kraftverk;ØVRE EIKER ENERGI AS;979497563;Buskerud;6;Øvre Eiker;24;01.01.1992;01.01.1992;1.00;3.14;20;6;0,046;1;012.B4A
584;Hellandsfoss;Kraftverk;BKK PRODUKSJON AS;876944642;Hordaland;12;Modalen;52;01.06.1992;01.06.1992;31.50;169.20;72,19;50;0,175;5;064.A0
610;Haukrei;Kraftverk;SKAGERAK KRAFT AS;979563531;Telemark;8;Fyresdal;31;15.12.1992;15.12.1992;16.00;43.96;102,5;17,98;0,246;2;019.DE5
875;Kvernhusfossen;Kraftverk;;;Telemark;8;Kragerø;15;01.01.1993;01.01.1993;0.01;0.06;24;;;2;017.3Z
737;Mattisfoss;Kraftverk;ALTA KRAFTLAG SA;971029390;Finnmark - Finnmárku;20;Alta;12;01.01.1993;01.01.1993;2.30;16.19;56;4,8;0,133;4;212.4Z
861;Uvdal;Kraftverk;;;Telemark;8;Bø i Telemark;21;01.01.1993;01.01.1993;0.04;0.12;;;;2;016.BA3Z
542;Svartisen;Kraftverk;STATKRAFT ENERGI AS;987059729;Nordland;18;Meløy;37;15.05.1993;15.05.1993;600.00;2466.15;543;120;1,389;4;159.8Z
565;Skjærlivatn;Kraftverk;TRØNDERENERGI KRAFT AS;878631072;Trøndelag;50;Roan;19;01.09.1993;01.09.1993;2.60;7.71;121;2,4;0,301;3;137.1D3
735;Hjelmeland;Kraftverk;LYSE PRODUKSJON AS;980335216;Rogaland;11;Hjelmeland;33;01.10.1993;01.10.1993;6.00;21.43;145;4,59;0,349;2;035.2Z
941;Bakkefossen;Kraftverk;GJERLAND NILS;969449919;Sogn og Fjordane;14;Førde;32;01.01.1994;01.01.1994;0.07;0.40;;;;3;083.EA0
1208;Hakkstabben;Kraftverk;ALTA KRAFTLAG SA;971029390;Finnmark - Finnmárku;20;Alta;12;01.01.1994;01.01.1994;0.80;2.00;;;;4;215.4
619;Meråker;Kraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Meråker;34;18.04.1994;18.04.1994;86.80;463.78;263,7;36,7;0,657;3;124.D0
620;Tevla;Pumpekraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Meråker;34;19.04.1994;19.04.1994;49.60;106.74;164,5;34;0,404;3;124.F410
753;Åsebotn;Kraftverk;BKK PRODUKSJON AS;876944642;Hordaland;12;Modalen;52;01.07.1994;01.07.1994;15.00;77.16;383;4,3;0,969;5;064.C4Z
736;Tafjord 6;Kraftverk;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Norddal;24;21.08.1994;21.08.1994;1.80;5.22;36;5,38;0,093;3;002.DHHE
744;Fossheimfoss;Kraftverk;E-CO ENERGI AS;976894677;Oppland;5;Vestre Slidre;43;22.08.1994;22.08.1994;1.90;9.36;6,69;32,99;0,016;1;012.M1
745;Scheldefoss;Kraftverk;SMÅKRAFT AS;984616155;Trøndelag;50;Flatanger;49;03.09.1994;03.09.1994;1.40;7.10;22,5;7,94;0,049;3;137.7D
1172;Strømsfoss;Kraftverk;NORDSIDEN KRAFT AS;917800731;Østfold;1;Aremark;18;05.10.1994;05.10.1994;0.50;2.50;;;;1;001.D3
100;Frøystul;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Telemark;8;Tinn;26;01.01.1995;01.01.1995;45.60;186.50;61,5;90;0,141;2;016.H6
942;Gunnar Jan Gjerland;Kraftverk;GUNNAR JAN GJERLAND;969411016;Sogn og Fjordane;14;Førde;32;01.01.1995;01.01.1995;0.18;0.80;;;;3;083.EAA
990;Kaldheim Bruk;Kraftverk;;;Hordaland;12;Etne;11;01.01.1995;01.01.1995;0.02;0.06;;;;2;041.AA1A
1082;Kinnali;Kraftverk;KINNALI KRAFT AS;993528315;Hordaland;12;Ullensvang;31;01.01.1995;01.01.1995;0.07;0.55;;;;5;050.1AZ
